2424|Bead Diamond|0|29|Item[DiamondSpar]|Magic / Crystallization|N/A
1919|Blue Axe|60|30|Weapon[Ax]|Iron / Steel|Atk +65 | Spd -5
1059|Blue Monster Clothes|60|30|Armor[Body]|Leaf / Steel|MDef +16 | Atk +14
1341|Blue Net Shoes|60|30|Armor[Shoes]|Flower / Grass|Spd +23 | MAtk +7
1273|Blue Woolen Clothes|60|30|Armor[Body]|Grass / Copper|MDef +16 | Def +14
1484|Bright Armlet|0|30|Armor[Special]|Titanium / Mercury|MAtk +75 | Spd +75
1457|Bronze Ring (Instance)|60|30|Armor[Special]|Copper|DEF +30
1067|Clear Armor|60|30|Armor[Body]|Steel / Leather|Spd +20 | Def +10
1148|Cloth Armband|60|30|Armor[Arm]|Grass / Flower|MAtk +16 | Spd +14
579|Curly Iron Sword|60|30|Weapon[Sword]|Pure Iron / Copper|Atk +30 | Spd +30
3015|Cyan Crystal|0|30|Item[DiamondSpar]|Magic / Crystallization|N/A
1463|Death Boots|60|30|Armor[Shoes]|Leather / Magic|Def +21 | MAtk +9
2137|Deity Spar|0|30|Item[DiamondSpar]|Magic / Crystallization|N/A
940|Emerald Boots|60|30|Armor[Shoes]|Copper / Steel|Def +35 | Spd -5
1479|Fierce Armlet|0|30|Armor[Special]|Titanium / Mercury|Atk +75 | Def +75
1008|Great Knight Boots|60|30|Armor[Shoes]|Steel|MDef +20 | MAtk +10
2896|Green Lush Boots|60|30|Armor[Shoes]|Nylon / Leather / Magic|Def +20 | MDef +10
1611|Guard's Sword|60|30|Weapon[Sword]|Steel / Copper|Atk +32 | Def +28
2702|Icicle Boots|60|30|Armor[Shoes]|Feather / Grass / Leather|MDef +20 | Spd +10
2684|Indigo Crest|60|30|Armor[Head]|Steel / Iron / Pure Iron|Def +18 | Atk +12
1051|Light Armor|60|30|Armor[Body]|Pure Iron / Leather|Atk +16 | Spd +14
1458|Long Purple Boots|60|30|Armor[Shoes]|Grass / Leaf|MAtk +16 | MDef +14
2293|Magical Ring|60|30|Armor[Special]|Rock|MAtk +30
2246|Masked Helmet|60|30|Armor[Head]|Hard Tissue / Iron / Steel|Def +20 | Spd +10
641|Peace Wand|60|30|Weapon[Wand]|Magic / Gold|MAtk +30 | MDef +30
1362|Power Armor|60|30|Armor[Body]|Flower / Magic|MAtk +30
2277|Purple Light Boots|60|30|Armor[Shoes]|Feather / Leather|Spd +30
1488|Rapid Armlet|0|30|Armor[Special]|Titanium / Mercury|MAtk +75 | MDef +75
2425|Shade Diamond|0|30|Item[DiamondSpar]|Magic / Crystallization|N/A
1343|Silk Clothes|60|30|Armor[Body]|Gold / Flower|Def +17 | Spd +13
1143|Silvery Torque|60|30|Armor[Head]|Silver / Jade|Spd +20 | MAtk +10
1208|Sky Clothes|60|30|Armor[Body]|Grass / Flower / Leaf / Leather|Spd +30
1188|Snow Mask|60|30|Armor[Head]|Corundum|Def +20 | Spd +10
1399|Soldier's Clothes|60|30|Armor[Body]|Leaf|Def +15 | MDef +15
1456|Spirit Ring|60|30|Armor[Special]|Diamond / Grass|Atk +40 | Def -10
547|Steel Trident|60|30|Weapon[Spear]|Steel / Iron|Atk +60
2248|Sunglow Helmet|60|30|Armor[Head]|Aluminum / Steel|Def +30
1339|Sunny Doll|60|30|Armor[Head]|Flower / Grass / Corundum|Special +8 | Spd +22
1450|Sunrise Cuffs|60|30|Armor[Arm]|Pure Iron|MDef +20 | MAtk +10
2678|The Stealthy One|60|30|Armor[Body]|Fur / Leather|Spd +25 | Def +5
1162|Thick Boots|60|30|Armor[Shoes]|Gold / Flower / Grass|Spd +19 | Def +11
2576|Twin Halberd|60|30|Weapon[Spear]|Wood / Titanium|ATK +45 | DEF +15
1489|War Armlet|0|30|Armor[Special]|Titanium / Mercury|Atk +75 | Spd +75
1363|Wolf Clothes|60|30|Armor[Body]|Leather / Gold|Spd +16 | Def +14
1168|Yellow Helmet|60|30|Armor[Head]|Copper / Iron|Def +20 | Atk +10
838|Beard Helmet|62|31|Armor[Head]|Titanium / Gold|Spd +22 | MDef +9
1330|Black Steel Boots|62|31|Armor[Shoes]|Steel / Iron|Def +33 | Spd -2
1409|Blue War Bracers (Instance)|62|31|Armor[Arm]|Gold|Def +31
1888|Blue-rip Bracers|62|31|Armor[Arm]|Titanium / Jade|Atk +23 | MaxHp +80
989|Chaos Cuffs|62|31|Armor[Arm]|Titanium / Gold|Def +25 | Spd +6
2210|Chopping Falchion|62|31|Weapon[Blade]|Copper / Iron / Steel|Atk +50 | Def +12
2265|Cyanine Gloves|62|31|Armor[Arm]|Grass / Flower|MDef +21 | Def +10
2243|Dark Feather Suit|62|31|Armor[Body]|Fur / Feather|Spd +16 | Def +15
1184|Downy Armor|62|31|Armor[Body]|Leather|Def +19 | Spd +12
1467|Flying Staff|62|31|Weapon[Wand]|Tin / Jade|MAtk +33 | Spd +29
2900|Forsaken Bracers|62|31|Armor[Arm]|Aluminum / Steel|Def +31
2218|Frozen Spear|62|31|Weapon[Spear]|Wood / Copper / Steel|Atk +34 | Def +28
2529|Icy Moon Wand|62|31|Weapon[Wand]|Jade / Titanium / Magic|MAtk +40 | MDef +22
1037|Knight's Armor|62|31|Armor[Body]|Iron / Copper|Def +24 | Atk +7
1144|Long Scythe|62|31|Weapon[Blade]|Steel / Iron|Atk +62
2261|Magma Cuffs|62|31|Armor[Arm]|Aluminum / Pure Iron|Def +22 | Atk +9
2229|Peaceful Wand|62|31|Weapon[Wand]|Silver / Tin / Magic|MDef +35 | MAtk +27
2668|Polar Frostclaw|62|31|Weapon[Claw]|Crystallization / Copper / Steel|Atk +32 | Spd +30
2271|Purity Gloves|62|31|Armor[Arm]|Feather / Leather|MAtk +18 | MDef +13
2268|Purple Flame Gloves|62|31|Armor[Arm]|Leaf / Leather|Def +25 | MDef +6
1645|Red Armor|62|31|Armor[Body]|Pure Iron / Grass / Steel|Def +20 | Atk +11
959|Sea Helmet|62|31|Armor[Head]|Steel / Iron|Def +22 | MDef +9
1766|Snake Earrings|62|31|Armor[Special]|Quartz (Crystal) / Silver|MAtk +20 | Atk +11
1058|War Boots|62|31|Armor[Shoes]|Gold / Steel / Titanium|Def +22 | Atk +9
1097|War Demon Armor|62|31|Armor[Body]|Nylon / Flower / Steel|MAtk +36 | Spd -5
837|War Helmet|62|31|Armor[Head]|Pure Iron / Iron|Def +16 | Atk +15
947|Wave Steel Sword|62|31|Weapon[Sword]|Steel / Iron|Atk +31 | Spd +31
1462|Amber Boots|64|32|Armor[Shoes]|Grass / Leaf|Spd +18 | MAtk +14
1652|Blue Armor|64|32|Armor[Body]|Pure Iron / Titanium|Spd +26 | MDef +6
2882|Cerulean Armor|64|32|Armor[Body]|Rock / Copper|Def +32
2534|Dark Boots|64|32|Armor[Shoes]|Fur|Def +22 | Spd +10
1052|Death Scythe|64|32|Weapon[Blade]|Titanium / Copper / Iron|Atk +64
4056|Delicate Silk|64|32|Armor[Arm]|Flower / Leather|MDef +23 | Def +9
1040|Demon Necklace|64|32|Armor[Special]|Quartz (Crystal)|MDef +21 | MAtk +11
840|Dragon Helmet|64|32|Armor[Head]|Titanium / Gold|Atk +18 | Spd +14
1082|Evil Gown|64|32|Armor[Body]|Nylon / Flower / Grass / Magic|MAtk +39 | Def -7
1616|Fast Cross Pike|64|32|Weapon[Spear]|Steel / Iron / Titanium|Spd +36 | Atk +30
2499|Fatal Scythe|64|32|Weapon[Blade]|Hard Tissue / Diamond / Titanium|Atk +64
2264|Flame Thorn Bracers|64|32|Armor[Arm]|Leather / Iron / Pure Iron|Def +22 | Atk +10
1268|Flax Green Boots|64|32|Armor[Shoes]|Leaf / Leather|Def +24 | Spd +8
1146|Flying Gloves|64|32|Armor[Arm]|Leaf / Flower / Grass|Spd +21 | Def +11
1443|Forest Boots|64|32|Armor[Shoes]|Leaf / Leather|Spd +21 | Def +11
1169|Green Mantle|64|32|Armor[Body]|Nylon / Leaf|MAtk +18 | Spd +14
1781|Icy Wand|64|32|Weapon[Wand]|Tin / Steel / Magic|MAtk +44 | Atk +20
842|Iron Helmet|64|32|Armor[Head]|Steel / Jade|Atk +16 | Spd +16
1151|Jade Loricae|64|32|Armor[Body]|Copper / Steel / Titanium|Def +37 | Spd -5
1410|Moon Wand (CP)|64|32|Weapon[Wand]|Corundum|MATK +64
1388|Red Clothes|64|32|Armor[Body]|Leather / Flower / Grass|Spd +24 | MAtk +8
1441|Red Fire Boots|64|32|Armor[Shoes]|Pure Iron / Steel / Titanium|MAtk +20 | Def +12
1442|Ring of King (Instance)|64|32|Armor[Special]|Jade|ATK +16 | SPD +16
1447|Ring of the Lord (Instance)|64|32|Armor[Special]|Corundum|MAtk +16 | Spd +16
2697|Sage Ring|64|32|Armor[Special]|Diamond / Magic|MATK +7 | MDEF +25
2273|Super Demon Boots|64|32|Armor[Shoes]|Feather / Grass / Nylon|MDef +32
1049|Swift Clothes|64|32|Armor[Body]|Flower / Grass|MAtk +32
1859|Violet Sword|64|32|Weapon[Sword]|Magic / Copper / Pure Iron / Steel|Atk +37 | MAtk +27
2681|Voodoo Doll|64|32|Armor[Head]|Magic / Grass / Corundum|Special +8 | MAtk +24
1260|War Armor|64|32|Armor[Body]|Steel|Def +28 | Atk +4
839|Warrior's Helmet|64|32|Armor[Head]|Gold / Pure Iron|Def +24 | Atk +8
580|Western Sword|64|32|Weapon[Sword]|Iron / Copper|Atk +32 | Spd +32
1170|Yellow Mantle|64|32|Armor[Body]|Gold / Steel|MDef +20 | Def +12
1050|Bead Torque|66|33|Armor[Head]|Silver / Jade|MAtk +33
2269|Blue Crystal Bracers|66|33|Armor[Arm]|Copper / Quartz (Crystal)|Def +33
2284|Cowboy Boots-2|66|33|Armor[Shoes]|Leather / Nylon / Fur|DEF +33
2515|Dark Feather Helmet|66|33|Armor[Head]|Crystallization / Tin / Jade|MAtk +20 | MDef +13
2519|Dreaming Bracers|66|33|Armor[Arm]|Feather / Flower / Magic|MDef +33
1142|Emerald Torque|66|33|Armor[Head]|Jade / Gold|MAtk +23 | Spd +10
1164|Evil Necklace|66|33|Armor[Special]|Quartz (Crystal)|MAtk +45 | Def -12
530|Golden Pike|66|33|Weapon[Spear]|Pure Iron / Steel|Atk +66
1627|Green-rip Bracers|66|33|Armor[Arm]|Leaf / Titanium|Atk +24 | Spd +9
2252|Holy Crest|66|33|Armor[Head]|Grass / Magic|MDef +33
1994|Immense Sword|66|33|Weapon[Sword]|Iron / Pure Iron / Steel|Atk +44 | Def +22
1174|Long Boots|66|33|Armor[Shoes]|Leather / Flower|Def +17 | Spd +16
2240|Purple Demon Suit|66|33|Armor[Body]|Fur / Nylon / Magic|MAtk +33
1055|Red Dragon Gown|66|33|Armor[Body]|Flower / Grass / Gold|Atk +33
1256|Red Leather Bracers|66|33|Armor[Arm]|Pure Iron / Leather|Atk +17 | Def +16
1294|Red Loricae|66|33|Armor[Body]|Steel / Titanium|Def +25 | Spd +8
2520|Shadow Wand|66|33|Weapon[Wand]|Magic / Tin / Jade|MAtk +36 | MDef +30
1053|Shining Armor|66|33|Armor[Body]|Platinum|Def +26 | Spd +7
1655|Silk Gloves|66|33|Armor[Arm]|Flower / Grass|MDef +25 | Def +8
1786|Sky Halberd|66|33|Weapon[Spear]|Wood / Pure Iron / Steel / Titanium|Atk +51 | Def +15
844|Snow Helmet|66|33|Armor[Head]|Titanium / Gold|MDef +21 | Def +12
2665|Staff of Prodigy|66|33|Weapon[Wand]|Tin / Iron / Jade|MDef +36 | MAtk +30
843|Steel Roman Helmet|66|33|Armor[Head]|Steel|Def +38 | Spd -5
2215|Swirling Blade|66|33|Weapon[Sword]|Gold / Copper / Iron|Atk +50 | Def +16
957|Thorn Sword|66|33|Weapon[Sword]|Steel / Copper|Atk +34 | Spd +32
1394|Warm Falchion|66|33|Weapon[Blade]|Steel / Magic|Atk +50 | Spd +16
1599|Aurora Staff|68|34|Weapon[Wand]|Corundum / Silver|MAtk +38 | Spd +30
1868|Beaded Wristband|68|34|Armor[Arm]|Iron / Steel|Def +32 | Spd +2
2209|Beast Bone Falchion|68|34|Weapon[Blade]|Hard Tissue / Steel / Titanium|Atk +38 | Def +30
1176|Black Armor|68|34|Armor[Body]|Steel / Gold|Def +34
1182|Blue Dragon Gown|68|34|Armor[Body]|Grass / Flower / Gold|Def +18 | Atk +16
2247|Brass Beast Helmet|68|34|Armor[Head]|Copper / Iron / Hard Tissue|Def +34
2661|Darkmoon Blade|68|34|Weapon[Blade]|Iron / Wood / Steel|Atk +52 | Def +16
2518|Double-blade Axe|68|34|Weapon[Ax]|Gold / Iron / Steel|Atk +71 | Spd -3
2253|Eagle Headband|68|34|Armor[Head]|Aluminum / Pure Iron / Steel|Def +22 | Atk +14
2279|Feather Boots-2|68|34|Armor[Shoes]|Feather / Leather / Fur|SPD +34
2501|Flaming Blade|68|34|Weapon[Blade]|Pure Iron / Steel|Atk +40 | Def +28
1060|Future Loricae|68|34|Armor[Body]|Gold / Steel / Titanium|Def +29 | Atk +5
1461|Heavy Boots|68|34|Armor[Shoes]|Titanium / Gold / Steel|Def +34
1336|Leather Net Boots|68|34|Armor[Shoes]|Leaf / Leather|Spd +18 | Def +16
1609|Magic Sword|68|34|Weapon[Sword]|Magic / Copper|MAtk +34 | Spd +34
946|Perfect Sword|68|34|Weapon[Sword]|Steel / Iron|Atk +36 | Spd +32
1861|Protection Boots|68|34|Armor[Shoes]|Leather / Flower / Grass|Def +21 | Spd +13
1181|Red Monster Clothes|68|34|Armor[Body]|Nylon / Pure Iron|MAtk +34
845|Scale Hairwear|68|34|Armor[Head]|Titanium / Gold / Steel|Spd +24 | Atk +10
549|Sharp Pike|68|34|Weapon[Spear]|Steel / Titanium|Atk +68
2522|Stone Ghost Sword|68|34|Weapon[Sword]|Rock / Iron / Steel|Atk +52 | Def +16
2887|Whiteshade Gloves|68|34|Armor[Arm]|Fur / Leather / Feather|Def +34
1361|Wild Clothes|68|34|Armor[Body]|Flower / Leather|Spd +26 | Atk +8
2679|Blazing Robe|70|35|Armor[Body]|Grass / Feather / Nylon|MAtk +18 | MDef +17
1365|Comfortable Boots|70|35|Armor[Shoes]|Leather / Leaf|Def +25 | MDef +10
2211|Cool Blue Falchion|70|35|Weapon[Blade]|Wood / Iron / Titanium|Atk +55 | Def +15
2670|Crimson Bloodhook|70|35|Weapon[Blade]|Pure Iron / Aluminum / Crystallization|Atk +35 | Def +35
2693|Demonia Gloves|70|35|Armor[Arm]|Magic / Leaf / Nylon|MAtk +20 | Spd +15
2140|Dragon Spar|0|35|Item[DiamondSpar]|Magic / Crystallization|N/A
1367|Fierce Armor|70|35|Armor[Body]|Gold|Spd +23 | Atk +12
2498|Fire Kung-Fu Suit|70|35|Armor[Body]|Flower / Leather|Atk +25 | Spd +10
1572|Gold Boots|0|35|Armor[Shoes]|Gold|Spd +35
2542|Gold Dragon Qipao|70|35|Armor[Body]|Fur / Leather / Feather|MAtk +18 | Spd +17
847|Golden Roman Helmet|70|35|Armor[Head]|Gold / Pure Iron|Def +25 | Atk +10
846|Goose Helmet|70|35|Armor[Head]|Copper / Platinum|Spd +27 | Def +8
1327|Green Dragon Gown|70|35|Armor[Body]|Leaf / Flower / Gold|Atk +20 | Spd +15
2286|Green Rider Boots|70|35|Armor[Shoes]|Nylon / Leather|Def +35
1582|Heavy Spear|70|35|Weapon[Spear]|Steel / Gold / Iron|Atk +78 | Spd -8
1615|King Sword|70|35|Weapon[Sword]|Titanium / Gold / Corundum|Atk +50 | Def +20
1459|Long White Boots|70|35|Armor[Shoes]|Leather|Def +30 | MaxHp +50
900|Lucy's Staff|0|35|Weapon[Wand]|Tin / Corundum|MAtk +25 | MaxSp +100
2666|Phoenix Staff|70|35|Weapon[Wand]|Silver / Jade / Titanium|MAtk +48 | Spd +22
1628|Purple Loricae|70|35|Armor[Body]|Gold / Steel / Titanium|Def +41 | Spd -6
1054|Resistent Necklace|70|35|Armor[Special]|Quartz (Crystal)|Spd +40 | Atk -5
2692|Runic Bracers|70|35|Armor[Arm]|Crystallization / Tin / Magic|MDef +25 | MAtk +10
1795|Sea Crest|70|35|Armor[Head]|Corundum / Steel|Def +30 | MaxHp +160
990|Shield Bracers|70|35|Armor[Arm]|Corundum / Steel / Titanium|Def +30 | Spd +5
2262|Sky Bracers|70|35|Armor[Arm]|Aluminum / Steel / Titanium|Def +30 | Atk +5
2502|Snow Sword|70|35|Weapon[Sword]|Iron / Copper / Steel|Atk +40 | Def +30
2244|Swift Dragon Suit|70|35|Armor[Body]|Feather / Leather / Nylon|Spd +18 | Def +17
2285|Vivid Boots|70|35|Armor[Shoes]|Leather / Feather / Fur|MDef +35
1384|White Armor|70|35|Armor[Body]|Iron / Platinum / Leather|Def +35
849|Blue Bird Helmet|72|36|Armor[Head]|Copper / Gold / Titanium|Def +27 | Spd +9
2283|Blue Rider Boots|72|36|Armor[Shoes]|Nylon / Feather / Magic|Def +18 | MDef +18
2685|Bluehawk Headdress|72|36|Armor[Head]|Diamond / Steel / Magic|MDef +36
1511|Colorful Armor|72|36|Armor[Body]|Iron / Leather|Def +28 | Spd +8
943|Cross Pike|72|36|Weapon[Spear]|Titanium / Copper / Steel|Atk +72
2426|Dark Shadow Crystal|0|36|Item[DiamondSpar]|Magic / Crystallization|N/A
2902|Darkshade Gloves|72|36|Armor[Arm]|Leaf / Leather / Feather|MDef +36
1387|Defence Medal|72|36|Armor[Special]|Iron / Silver|Def +36
1866|Eagle Headwear|72|36|Armor[Head]|Steel / Pure Iron / Corundum|Atk +22 | Spd +14
1589|Fire Sword (Instance)|72|36|Weapon[Sword]|Magic|MATK +40 | SPD +32
2539|Furious Claw|72|36|Weapon[Claw]|Hard Tissue / Pure Iron / Steel|Atk +42 | Spd +30
2505|Gold Spear|72|36|Weapon[Spear]|Gold / Copper|Atk +50 | Def +22
1869|Holy Light Staff|72|36|Weapon[Wand]|Tin / Corundum / Magic|MAtk +42 | MDef +30
1476|King's Loricae|72|36|Armor[Body]|Titanium / Gold / Steel|Def +36
1612|Long Bronze Sword|72|36|Weapon[Sword]|Copper|Atk +37 | Spd +35
2295|Magical Earbobs|72|36|Armor[Special]|Jade|MDef +20 | Spd +16
2276|Mana Fur Boots|72|36|Armor[Shoes]|Feather / Leather / Magic|MAtk +28 | MDef +8
1166|Mist Robe|72|36|Armor[Body]|Flower / Grass|MAtk +22 | Def +14
2676|Mystic Robe|72|36|Armor[Body]|Grass / Leather / Feather|MAtk +36
848|Phoenix Helmet|72|36|Armor[Head]|Copper / Gold / Titanium|Def +27 | MAtk +9
2496|Rainbow Suit|72|36|Armor[Body]|Fur / Leather / Feather|Spd +30 | Atk +6
2228|Sharp Eagle Wand|72|36|Weapon[Wand]|Corundum / Silver / Jade / Magic|MAtk +44 | MDef +28
2883|Sunrise Headdress|72|36|Armor[Head]|Pure Iron / Iron / Titanium|Atk +18 | Def +18
3367|Twin Swords|72|36|Weapon[Sword]|Pure Iron|Atk +40 | Spd +32
1449|Twin Swords (Instance)|72|36|Weapon[Sword]|Pure Iron|ATK +40 | SPD +32
1871|Wolf Suit|72|36|Armor[Body]|Leather / Leaf|Spd +28 | Atk +8
2893|Assault Helmet|74|37|Armor[Head]|Copper / Pure Iron|Def +27 | Atk +10
1381|Attack Medal|74|37|Armor[Special]|Iron / Silver|Atk +37
2890|Azure Moon Wand|74|37|Weapon[Wand]|Tin / Platinum / Jade|MAtk +50 | MDef +24
1340|Eagle Armor|74|37|Armor[Body]|Iron / Leather|Spd +27 | MAtk +10
1185|Fur Clothes (Male)|0|37|Armor[Body]|Grass / White/Yellow Clay / Titanium / Jade / Crystallization|Spd +37
1186|Fur Clothes(Female)|0|37|Armor[Body]|Grass / White/Yellow Clay / Titanium / Jade / Crystallization|Spd +37
2696|Heliotrope Armlet|74|37|Armor[Arm]|Feather / Grass / Magic|MAtk +27 | Spd +10
2521|Jade Eagle Helmet|74|37|Armor[Head]|Crystallization / Titanium / Magic|MDef +25 | MAtk +12
1621|Light Blue Boots|74|37|Armor[Shoes]|Nylon / Leather|Def +27 | MaxSp +100
1870|Magic Glove|74|37|Armor[Arm]|Flower / Leather / Magic|MAtk +37
2532|Magic Purple Hat|74|37|Armor[Head]|Leather / Grass / Magic|MDef +25 | Def +12
2219|Mars Halberd|74|37|Weapon[Spear]|Wood / Iron / Aluminum / Steel|Atk +56 | Def +18
2688|Platimum Bracers|74|37|Armor[Arm]|Platinum / Iron / Steel|Def +28 | Atk +9
1631|Red Flame Boots|74|37|Armor[Shoes]|Grass|MDef +26 | MAtk +11
2538|Saint Wand|74|37|Weapon[Wand]|Magic / Jade / Titanium|MAtk +45 | Spd +29
1617|Silvery Star|74|37|Armor[Head]|Corundum / Platinum|MAtk +37
2282|Skyblue Boots|74|37|Armor[Shoes]|Fur / Leather|Def +37
2222|Star Wand|74|37|Weapon[Wand]|Silver / Jade / Magic|MAtk +43 | MDef +31
2662|Swirlfire Sword|74|37|Weapon[Sword]|Pure Iron / Steel / Titanium|Atk +55 | Def +19
1179|Thorn Bracers|74|37|Armor[Arm]|Steel / Iron|Def +24 | Atk +13
2224|Thorny Wand|74|37|Weapon[Wand]|Jade / Tin / Magic|MAtk +48 | MDef +26
1510|Body Armor|76|38|Armor[Body]|Iron / Leather|Def +29 | MDef +9
2280|Cat Claw Boots|76|38|Armor[Shoes]|Hard Tissue / Leather / Feather / Nylon / Magic|MAtk +30 | MDef +8
2879|Chaos Star|76|38|Weapon[Wand]|Corundum / Magic / Aluminum|MAtk +56 | MDef +20
1629|Delicate Helmet|76|38|Armor[Head]|Titanium / Corundum|Def +26 | Spd +12
2527|Dream Purple Boots|76|38|Armor[Shoes]|Feather / Leaf / Leather|MDef +24 | Def +14
1613|Gold Rip Sword|76|38|Weapon[Sword]|Gold / Silver|Atk +46 | Spd +30
1643|Hard Bracers|76|38|Armor[Arm]|Copper / Titanium|Atk +20 | Def +18
1451|Honor Medal|76|38|Armor[Special]|Iron / Silver|Atk +30 | MaxHp +80
1876|Magic Dragon Cloak|76|38|Armor[Body]|Flower / Gold / Magic|MAtk +28 | Def +10
1420|Men's Robe|76|38|Armor[Body]|Grass / Flower|MAtk +38
2673|Obsidian Armor|76|38|Armor[Body]|Rock / Iron / Titanium|Def +30 | Spd +8
1865|Purple Armor|76|38|Armor[Body]|Steel / Iron / Titanium|Def +38
2258|Redbell Headband|76|38|Armor[Head]|Leather / Pure Iron / Corundum|Spd +28 | Atk +10
2878|Shadowine|76|38|Weapon[Wand]|Magic / Corundum / Titanium|MDef +42 | MAtk +34
2503|War Soul Spear|76|38|Weapon[Spear]|Pure Iron / Steel / Titanium|Atk +60 | Def +16
1421|Women's Robe|76|38|Armor[Body]|Grass / Flower|MATK +38
1047|Blue Kung-Fu Suit|78|39|Armor[Body]|Flower|Spd +24 | Atk +15
2891|Crimson Halberd|78|39|Weapon[Spear]|Pure Iron / Aluminum / Steel|Atk +54 | Def +24
2537|Crystal Loricae|78|39|Armor[Body]|Quartz (Crystal) / Steel / Titanium|Def +35 | Atk +4
2270|Dark Bead Bracers|78|39|Armor[Arm]|Aluminum / Iron / Steel|Def +30 | Atk +9
2543|Ghost Clogs|78|39|Armor[Shoes]|Wood / Flower / Nylon|MDef +20 | Spd +19
1623|Gloomy Loricae|78|39|Armor[Body]|Steel / Copper / Titanium|Def +33 | Atk +6
2221|Golden Wand-2|78|39|Weapon[Wand]|Corundum / Flower / Gold / Tin / Magic|MATK +50 | MDEF +28
2249|Mist Headband|78|39|Armor[Head]|Leaf / Grass / Nylon|Spd +25 | MDef +14
2918|Natura Zen Garb|78|39|Armor[Body]|Fur / Grass / Feather|MDef +25 | Def +14
1452|Spirit Medal|78|39|Armor[Special]|Iron / Silver|MAtk +30 | MaxSp +90
1614|Sunny Sword|78|39|Weapon[Sword]|Steel / Copper|Atk +45 | Spd +33
2691|The Shadow Lore|78|39|Armor[Arm]|Feather / Flower / Leather|MAtk +22 | MDef +17
1366|Thick Beast Boots|78|39|Armor[Shoes]|Leather / Nylon|Def +39
1783|Twin Bluemoon Blades|78|39|Weapon[Sword]|Titanium / Iron / Pure Iron / Steel|Spd +43 | Atk +35
2533|Blue Bracers|80|40|Armor[Arm]|Flower / Magic|Def +20 | Spd +20
2524|Blue Flame Loricae|80|40|Armor[Body]|Titanium / Tin / Steel|Def +40
1860|Blue Ray Wristband|80|40|Armor[Arm]|Copper / Iron / Steel|Def +30 | Atk +10
2884|Draconian Battlerobe|80|40|Armor[Body]|Leather / Nylon / Fur|Atk +28 | Spd +12
3372|Dragon Rage Sw|80|40|Weapon[Sword]|Pure Iron / Copper / Corundum / Titanium|Atk +48 | Spd +32
2531|Dreaming Dress|80|40|Armor[Body]|Feather / Nylon / Fur|MDef +20 | Def +20
2241|Duke Shadow Suit|80|40|Armor[Body]|Nylon / Leaf / Leather / Feather|Def +20 | MDef +20
2888|Flaming Eagle Wand|80|40|Weapon[Wand]|Jade / Titanium / Pure Iron|MAtk +58 | MDef +22
2526|Gold Feather Helmet|80|40|Armor[Head]|Steel / Gold / Iron|Atk +20 | Def +20
